2,"500"
10,"1000"
0,"5000"
3,"100000"
1,"1000"
8,"10000"
6,"50000"
4,"500"
2,"1000"
5,"500"
0,"1000"
2,"50000"
1,"50000"
9,"500"
8,"1000"
6,"100000"
9,"100000"
3,"500"
3,"100"
4,"100"
6,"10000"
2,"10000"
7,"50000"
7,"1000"
7,"100000"
1,"5000"
4,"5000"
6,"1000"
10,"500"
7,"10000"
1,"100000"
8,"100000"
5,"100"
7,"100"
10,"10000"
6,"5000"
2,"100"
2,"5000"
2,"100000"
10,"100"
9,"1000"
8,"5000"
5,"50000"
4,"50000"
0,"10000"
5,"10000"
3,"10000"
6,"500"
9,"10000"
1,"500"
5,"1000"
10,"5000"
10,"50000"
3,"5000"
8,"50000"
7,"500"
4,"1000"
10,"100000"
0,"100000"
5,"5000"
4,"10000"
7,"5000"
9,"100"
0,"500"
8,"500"
9,"5000"
4,"100000"
6,"100"
1,"100"
9,"50000"
5,"100000"
3,"1000"
0,"100"
8,"100"
0,"50000"
3,"50000"
1,"10000"
